Dataset,Pattern,Target_Class,Blending,seed,Defense,N_Patterns,ACC,F1,Precision,Recall,TPR,FPR,TP,FP,TN,FN
cifar10,trigger_color_grid,0_all,0.5,0,vbd,2,0.9992,0.9958,0.9917,1.0,1.0,0.0009,5000,42,44958,0
cifar10,trigger_color_grid,0_all,0.5,0,agpd_100,,0.9927,0.962,0.9991,0.9276,0.9276,0.0001,4638,4,44996,362
cifar10,trigger_color_grid,0_all,0.5,0,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,trigger_color_grid,0_all,0.5,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,0_all,0.5,0,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,0_all,0.5,0,abl,,0.977,0.8848,0.8848,0.8848,0.8848,0.0128,4424,576,44424,576
cifar10,trigger_color_grid,0_all,1.0,0,vbd,2,0.9991,0.9954,0.9909,1.0,1.0,0.001,5000,46,44954,0
cifar10,trigger_color_grid,0_all,1.0,0,agpd_100,,0.9901,0.9481,1.0,0.9014,0.9014,0.0,4507,0,45000,493
cifar10,trigger_color_grid,0_all,1.0,0,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,trigger_color_grid,0_all,1.0,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,0_all,1.0,0,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,0_all,1.0,0,abl,,0.9752,0.876,0.876,0.876,0.876,0.0138,4380,620,44380,620
cifar10,trigger_green_square,0_all,0.1,0,vbd,1,0.9964,0.9822,0.9705,0.9942,0.9942,0.0034,4971,151,44849,29
cifar10,trigger_green_square,0_all,0.1,0,agpd_100,,0.9936,0.9673,0.9968,0.9394,0.9394,0.0003,4697,15,44985,303
cifar10,trigger_green_square,0_all,0.1,0,scan_100,,0.995,0.9743,1.0,0.9498,0.9498,0.0,4749,0,45000,251
cifar10,trigger_green_square,0_all,0.1,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_green_square,0_all,0.1,0,scan_2000,,,,,,,,,,,
cifar10,trigger_green_square,0_all,0.1,0,abl,,0.9373,0.6866,0.6866,0.6866,0.6866,0.0348,3433,1567,43433,1567
cifar10,trigger_green_square,0_all,0.2,0,vbd,2,0.9974,0.987,0.9774,0.9968,0.9968,0.0026,4984,115,44885,16
cifar10,trigger_green_square,0_all,0.2,0,agpd_100,,0.9847,0.9173,1.0,0.8472,0.8472,0.0,4236,0,45000,764
cifar10,trigger_green_square,0_all,0.2,0,scan_100,,0.998,0.9899,1.0,0.98,0.98,0.0,4900,0,45000,100
cifar10,trigger_green_square,0_all,0.2,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_green_square,0_all,0.2,0,scan_2000,,,,,,,,,,,
cifar10,trigger_green_square,0_all,0.2,0,abl,,0.9396,0.6982,0.6982,0.6982,0.6982,0.0335,3491,1509,43491,1509
cifar10,trigger_green_square,0_all,0.5,0,vbd,2,0.9973,0.9869,0.9748,0.9992,0.9992,0.0029,4996,129,44871,4
cifar10,trigger_green_square,0_all,0.5,0,agpd_100,,0.9581,0.8159,0.7274,0.929,0.929,0.0387,4645,1741,43259,355
cifar10,trigger_green_square,0_all,0.5,0,scan_100,,0.9999,0.9995,1.0,0.999,0.999,0.0,4995,0,45000,5
cifar10,trigger_green_square,0_all,0.5,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_green_square,0_all,0.5,0,scan_2000,,,,,,,,,,,
cifar10,trigger_green_square,0_all,0.5,0,abl,,0.9876,0.9382,0.9382,0.9382,0.9382,0.0069,4691,309,44691,309
cifar10,trigger_green_square,0_all,1.0,0,vbd,2,0.999,0.9948,0.9913,0.9984,0.9984,0.001,4992,44,44956,8
cifar10,trigger_green_square,0_all,1.0,0,agpd_100,,0.9907,0.9512,0.9998,0.9072,0.9072,0.0,4536,1,44999,464
cifar10,trigger_green_square,0_all,1.0,0,scan_100,,0.9999,0.9997,1.0,0.9994,0.9994,0.0,4997,0,45000,3
cifar10,trigger_green_square,0_all,1.0,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_green_square,0_all,1.0,0,scan_2000,,,,,,,,,,,
cifar10,trigger_green_square,0_all,1.0,0,abl,,0.9944,0.972,0.972,0.972,0.972,0.0031,4860,140,44860,140
cifar10,trigger_white_grid,0_all,0.1,0,vbd,1,0.9955,0.978,0.9632,0.9934,0.9934,0.0042,4967,190,44810,33
cifar10,trigger_white_grid,0_all,0.1,0,agpd_100,,0.9855,0.9218,0.9986,0.856,0.856,0.0001,4280,6,44994,720
cifar10,trigger_white_grid,0_all,0.1,0,scan_100,,0.9985,0.9922,0.999,0.9856,0.9856,0.0001,4928,5,44995,72
cifar10,trigger_white_grid,0_all,0.1,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_grid,0_all,0.1,0,scan_2000,,,,,,,,,,,
cifar10,trigger_white_grid,0_all,0.1,0,abl,,0.9831,0.9156,0.9156,0.9156,0.9156,0.0094,4578,422,44578,422
cifar10,trigger_white_grid,0_all,0.2,0,vbd,1,0.9969,0.9846,0.9699,0.9998,0.9998,0.0034,4999,155,44845,1
cifar10,trigger_white_grid,0_all,0.2,0,agpd_100,,0.9651,0.7888,0.9991,0.6516,0.6516,0.0001,3258,3,44997,1742
cifar10,trigger_white_grid,0_all,0.2,0,scan_100,,0.9999,0.9997,0.9998,0.9996,0.9996,0.0,4998,1,44999,2
cifar10,trigger_white_grid,0_all,0.2,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_grid,0_all,0.2,0,scan_2000,,,,,,,,,,,
cifar10,trigger_white_grid,0_all,0.2,0,abl,,0.9834,0.917,0.917,0.917,0.917,0.0092,4585,415,44585,415
cifar10,trigger_white_grid,0_all,0.5,0,vbd,2,0.9988,0.9939,0.9879,1.0,1.0,0.0014,5000,61,44939,0
cifar10,trigger_white_grid,0_all,0.5,0,agpd_100,,0.9923,0.9598,0.9998,0.9228,0.9228,0.0,4614,1,44999,386
cifar10,trigger_white_grid,0_all,0.5,0,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,trigger_white_grid,0_all,0.5,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_grid,0_all,0.5,0,scan_2000,,,,,,,,,,,
cifar10,trigger_white_grid,0_all,0.5,0,abl,,0.9589,0.7946,0.7946,0.7946,0.7946,0.0228,3973,1027,43973,1027
cifar10,trigger_white_grid,0_all,1.0,0,vbd,1,0.9991,0.9955,0.9911,1.0,1.0,0.001,5000,45,44955,0
cifar10,trigger_white_grid,0_all,1.0,0,agpd_100,,0.9838,0.9119,1.0,0.838,0.838,0.0,4190,0,45000,810
cifar10,trigger_white_grid,0_all,1.0,0,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,trigger_white_grid,0_all,1.0,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_grid,0_all,1.0,0,scan_2000,,,,,,,,,,,
cifar10,trigger_white_grid,0_all,1.0,0,abl,,0.9751,0.8756,0.8756,0.8756,0.8756,0.0138,4378,622,44378,622
cifar10,trigger_white_square,0_all,0.1,0,vbd,1,0.9597,0.7689,0.9,0.6712,0.6712,0.0083,3356,373,44627,1644
cifar10,trigger_white_square,0_all,0.1,0,agpd_100,,0.9771,0.8718,0.9916,0.7778,0.7778,0.0007,3889,33,44967,1111
cifar10,trigger_white_square,0_all,0.1,0,scan_100,,0.9738,0.8526,0.9738,0.7582,0.7582,0.0023,3791,102,44898,1209
cifar10,trigger_white_square,0_all,0.1,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,0_all,0.1,0,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,0_all,0.1,0,abl,,0.8015,0.0074,0.0074,0.0074,0.0074,0.1103,37,4963,40037,4963
cifar10,trigger_white_square,0_all,0.2,0,vbd,1,0.9811,0.8992,0.9649,0.8418,0.8418,0.0034,4209,153,44847,791
cifar10,trigger_white_square,0_all,0.2,0,agpd_100,,0.9878,0.9351,0.9966,0.8808,0.8808,0.0003,4404,15,44985,596
cifar10,trigger_white_square,0_all,0.2,0,scan_100,,0.971,0.8303,0.9986,0.7106,0.7106,0.0001,3553,5,44995,1447
cifar10,trigger_white_square,0_all,0.2,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,0_all,0.2,0,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,0_all,0.2,0,abl,,0.857,0.2848,0.2848,0.2848,0.2848,0.0795,1424,3576,41424,3576
cifar10,trigger_white_square,0_all,0.5,0,vbd,1,0.991,0.9539,0.9794,0.9298,0.9298,0.0022,4649,98,44902,351
cifar10,trigger_white_square,0_all,0.5,0,agpd_100,,0.9854,0.9212,0.9993,0.8544,0.8544,0.0001,4272,3,44997,728
cifar10,trigger_white_square,0_all,0.5,0,scan_100,,0.991,0.9529,0.9998,0.9102,0.9102,0.0,4551,1,44999,449
cifar10,trigger_white_square,0_all,0.5,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,0_all,0.5,0,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,0_all,0.5,0,abl,,0.9568,0.784,0.784,0.784,0.784,0.024,3920,1080,43920,1080
cifar10,trigger_white_square,0_all,1.0,0,vbd,1,0.9945,0.9721,0.9858,0.9588,0.9588,0.0015,4794,69,44931,206
cifar10,trigger_white_square,0_all,1.0,0,agpd_100,,0.9875,0.9335,0.9991,0.876,0.876,0.0001,4380,4,44996,620
cifar10,trigger_white_square,0_all,1.0,0,scan_100,,0.9958,0.9787,1.0,0.9582,0.9582,0.0,4791,0,45000,209
cifar10,trigger_white_square,0_all,1.0,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,0_all,1.0,0,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,0_all,1.0,0,abl,,0.9699,0.8494,0.8494,0.8494,0.8494,0.0167,4247,753,44247,753
cifar10,trigger_color_grid,1_1,0.1,0,vbd,9,0.9742,0.8735,0.8556,0.8922,0.8922,0.0167,4461,753,44247,539
cifar10,trigger_color_grid,1_1,0.1,0,agpd_100,,0.8182,0.5156,0.3514,0.9674,0.9674,0.1984,4837,8926,36074,163
cifar10,trigger_color_grid,1_1,0.1,0,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.1,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.1,0,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.1,0,abl,,0.8014,0.007,0.007,0.007,0.007,0.1103,35,4965,40035,4965
cifar10,trigger_color_grid,1_1,0.1,1,vbd,9,0.9736,0.8723,0.8444,0.902,0.902,0.0185,4510,831,44169,490
cifar10,trigger_color_grid,1_1,0.1,1,agpd_100,,0.9953,0.9759,0.9998,0.9532,0.9532,0.0,4766,1,44999,234
cifar10,trigger_color_grid,1_1,0.1,1,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.1,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.1,1,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.1,1,abl,,0.8001,0.0006,0.0006,0.0006,0.0006,0.111,3,4997,40003,4997
cifar10,trigger_color_grid,1_1,0.1,2,vbd,9,0.9395,0.7477,0.6416,0.896,0.896,0.0556,4480,2503,42497,520
cifar10,trigger_color_grid,1_1,0.1,2,agpd_100,,0.8996,0.0012,0.12,0.0006,0.0006,0.0005,3,22,44978,4997
cifar10,trigger_color_grid,1_1,0.1,2,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.1,2,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.1,2,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.1,2,abl,,0.8038,0.0192,0.0192,0.0192,0.0192,0.109,96,4904,40096,4904
cifar10,trigger_color_grid,1_1,0.1,3,vbd,9,0.967,0.8442,0.7996,0.894,0.894,0.0249,4470,1120,43880,530
cifar10,trigger_color_grid,1_1,0.1,3,agpd_100,,0.9937,0.9677,0.9994,0.938,0.938,0.0001,4690,3,44997,310
cifar10,trigger_color_grid,1_1,0.1,3,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.1,3,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.1,3,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.1,3,abl,,0.8007,0.0034,0.0034,0.0034,0.0034,0.1107,17,4983,40017,4983
cifar10,trigger_color_grid,1_1,0.1,4,vbd,9,0.9757,0.8815,0.8596,0.9046,0.9046,0.0164,4523,739,44261,477
cifar10,trigger_color_grid,1_1,0.1,4,agpd_100,,0.833,0.537,0.3715,0.9684,0.9684,0.182,4842,8191,36809,158
cifar10,trigger_color_grid,1_1,0.1,4,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.1,4,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.1,4,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.1,4,abl,,0.8001,0.0004,0.0004,0.0004,0.0004,0.1111,2,4998,40002,4998
cifar10,trigger_color_grid,1_1,0.2,0,vbd,10,0.9903,0.9538,0.912,0.9996,0.9996,0.0107,4998,482,44518,2
cifar10,trigger_color_grid,1_1,0.2,0,agpd_100,,0.9263,0.7207,0.58,0.9516,0.9516,0.0766,4758,3445,41555,242
cifar10,trigger_color_grid,1_1,0.2,0,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.2,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.2,0,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.2,0,abl,,0.8902,0.451,0.451,0.451,0.451,0.061,2255,2745,42255,2745
cifar10,trigger_color_grid,1_1,0.2,1,vbd,10,0.9929,0.9655,0.9338,0.9994,0.9994,0.0079,4997,354,44646,3
cifar10,trigger_color_grid,1_1,0.2,1,agpd_100,,0.9321,0.7378,0.6009,0.9554,0.9554,0.0705,4777,3173,41827,223
cifar10,trigger_color_grid,1_1,0.2,1,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.2,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.2,1,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.2,1,abl,,0.8874,0.4372,0.4372,0.4372,0.4372,0.0625,2186,2814,42186,2814
cifar10,trigger_color_grid,1_1,0.2,2,vbd,10,0.9837,0.9246,0.8597,1.0,1.0,0.0181,5000,816,44184,0
cifar10,trigger_color_grid,1_1,0.2,2,agpd_100,,0.9129,0.6844,0.5367,0.9444,0.9444,0.0906,4722,4076,40924,278
cifar10,trigger_color_grid,1_1,0.2,2,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.2,2,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.2,2,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.2,2,abl,,0.8928,0.4642,0.4642,0.4642,0.4642,0.0595,2321,2679,42321,2679
cifar10,trigger_color_grid,1_1,0.2,3,vbd,9,0.9843,0.9193,0.9449,0.895,0.895,0.0058,4475,261,44739,525
cifar10,trigger_color_grid,1_1,0.2,3,agpd_100,,0.9075,0.1399,1.0,0.0752,0.0752,0.0,376,0,45000,4624
cifar10,trigger_color_grid,1_1,0.2,3,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.2,3,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.2,3,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.2,3,abl,,0.9386,0.6932,0.6932,0.6932,0.6932,0.0341,3466,1534,43466,1534
cifar10,trigger_color_grid,1_1,0.2,4,vbd,10,0.992,0.9616,0.9261,1.0,1.0,0.0089,5000,399,44601,0
cifar10,trigger_color_grid,1_1,0.2,4,agpd_100,,0.9872,0.9319,0.9998,0.8726,0.8726,0.0,4363,1,44999,637
cifar10,trigger_color_grid,1_1,0.2,4,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.2,4,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.2,4,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.2,4,abl,,0.8825,0.4124,0.4124,0.4124,0.4124,0.0653,2062,2938,42062,2938
cifar10,trigger_color_grid,1_1,0.5,0,vbd,10,0.9893,0.949,0.903,1.0,1.0,0.0119,5000,537,44463,0
cifar10,trigger_color_grid,1_1,0.5,0,agpd_100,,0.9957,0.9781,1.0,0.9572,0.9572,0.0,4786,0,45000,214
cifar10,trigger_color_grid,1_1,0.5,0,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.5,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.5,0,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.5,0,abl,,0.9125,0.5626,0.5626,0.5626,0.5626,0.0486,2813,2187,42813,2187
cifar10,trigger_color_grid,1_1,0.5,1,vbd,10,0.9883,0.9447,0.8968,0.998,0.998,0.0128,4990,574,44426,10
cifar10,trigger_color_grid,1_1,0.5,1,agpd_100,,0.936,0.7472,0.6178,0.9452,0.9452,0.065,4726,2924,42076,274
cifar10,trigger_color_grid,1_1,0.5,1,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.5,1,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.5,1,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.5,1,abl,,0.9031,0.5156,0.5156,0.5156,0.5156,0.0538,2578,2422,42578,2422
cifar10,trigger_color_grid,1_1,0.5,2,vbd,10,0.9815,0.9154,0.844,1.0,1.0,0.0205,5000,924,44076,0
cifar10,trigger_color_grid,1_1,0.5,2,agpd_100,,0.9435,0.7674,0.6522,0.932,0.932,0.0552,4660,2485,42515,340
cifar10,trigger_color_grid,1_1,0.5,2,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.5,2,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.5,2,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.5,2,abl,,0.8869,0.4346,0.4346,0.4346,0.4346,0.0628,2173,2827,42173,2827
cifar10,trigger_color_grid,1_1,0.5,3,vbd,10,0.9857,0.9331,0.8751,0.9994,0.9994,0.0158,4997,713,44287,3
cifar10,trigger_color_grid,1_1,0.5,3,agpd_100,,0.9917,0.9567,0.9998,0.9172,0.9172,0.0,4586,1,44999,414
cifar10,trigger_color_grid,1_1,0.5,3,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.5,3,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.5,3,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.5,3,abl,,0.9259,0.6294,0.6294,0.6294,0.6294,0.0412,3147,1853,43147,1853
cifar10,trigger_color_grid,1_1,0.5,4,vbd,10,0.9792,0.9058,0.8279,0.9998,0.9998,0.0231,4999,1039,43961,1
cifar10,trigger_color_grid,1_1,0.5,4,agpd_100,,0.9942,0.9701,0.9998,0.9422,0.9422,0.0,4711,1,44999,289
cifar10,trigger_color_grid,1_1,0.5,4,scan_100,,0.9,0,0.0,0,0.0,0.0,0,5000,45000,0
cifar10,trigger_color_grid,1_1,0.5,4,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.5,4,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,1_1,0.5,4,abl,,0.896,0.4798,0.4798,0.4798,0.4798,0.0578,2399,2601,42399,2601
cifar10,trigger_color_grid,1_1,1.0,0,vbd,10,0.9882,0.9441,0.8941,1.0,1.0,0.0132,5000,592,44408,0
